trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,instr1.started,instr1.stopped,instr1Resp.keys,instr1Resp.rt,instr1Resp.started,instr1Resp.stopped,fix1.started,fix1.stopped,trial1Mouse.x,trial1Mouse.y,trial1Mouse.leftButton,trial1Mouse.midButton,trial1Mouse.rightButton,trial1Mouse.time,trial1Mouse.started,trial1Mouse.stopped,step,targetangle_deg,trial1Target.started,trial1Target.stopped,trial1Home.started,trial1Home.stopped,trial1Cursor.started,trial1Cursor.stopped,trial1Num.started,trial1Num.stopped,trial1Skip.keys,trial1Skip.rt,trial1Skip.started,trial1Skip.stopped,instr2.started,instr2.stopped,instr2Resp.keys,instr2Resp.rt,instr2Resp.started,instr2Resp.stopped,fix2.started,fix2.stopped,trial2Mouse.x,trial2Mouse.y,trial2Mouse.leftButton,trial2Mouse.midButton,trial2Mouse.rightButton,trial2Mouse.time,trial2Mouse.started,trial2Mouse.stopped,trial2Target.started,trial2Target.stopped,trial2Home.started,trial2Home.stopped,trial2Cursor.started,trial2Cursor.stopped,trial2Num.started,trial2Num.stopped,participant,session,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.002960100071504712, 0.013571899966336787, 0.03644270007498562, 0.05420909996610135, 0.07035589998122305, 0.08716390002518892, 0.10374859999865294, 0.12030589999631047, 0.1370926999952644, 0.15373170003294945, 0.17090400005690753]",17.10306569992099,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,17.10306569992099,None,17.10306569992099,None,17.10306569992099,None,17.10306569992099,None,space,0.15242239995859563,17.10306569992099,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
20,0,20,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00299579999409616, 0.014634699909947813, 0.03566809999756515, 0.0532710999250412, 0.06951699999626726, 0.08648479997646064, 0.10284989990759641, 0.11954419990070164, 0.13656369992531836, 0.15286189992912114, 0.16990279988385737]",17.28765959991142,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,17.28765959991142,None,17.28765959991142,None,17.28765959991142,None,17.28765959991142,None,space,0.15181059995666146,17.28765959991142,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
21,0,21,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0029597000684589148, 0.014038500026799738, 0.0354269000235945, 0.053125300095416605, 0.0693270000629127, 0.08589550002943724, 0.10269730002619326, 0.1193166000302881, 0.13644590007606894, 0.1526878000004217, 0.16931720008142292]",17.471707699936815,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,17.471707699936815,None,17.471707699936815,None,17.471707699936815,None,17.471707699936815,None,space,0.14379270002245903,17.471707699936815,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
22,0,22,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0033840000396594405, 0.014369799988344312, 0.03747270000167191, 0.05531119997613132, 0.07152739993762225, 0.08827860001474619, 0.10475389997009188, 0.12160329998005182, 0.13822359999176115, 0.1553828000323847]",17.65271599998232,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,17.65271599998232,None,17.65271599998232,None,17.65271599998232,None,17.65271599998232,None,space,0.13913160003721714,17.65271599998232,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
23,0,23,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0028999000787734985, 0.013831300078891218, 0.035920900059863925, 0.05321629997342825, 0.06999580003321171, 0.08656299998983741, 0.10336599999573082, 0.11994560004677624, 0.13656540005467832, 0.15325360000133514, 0.17051069997251034]",17.820030299946666,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,17.820030299946666,None,17.820030299946666,None,17.820030299946666,None,17.820030299946666,None,space,0.1554673999780789,17.820030299946666,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
24,0,24,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00289789994712919, 0.013472900027409196, 0.035314799984917045, 0.05251289997249842, 0.06943799997679889, 0.08631889999378473, 0.10250919999089092, 0.11927339993417263, 0.13613759994041175, 0.15259439998771995, 0.16933349997270852, 0.18582070001866668]",18.004027199931443,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,18.004027199931443,None,18.004027199931443,None,18.004027199931443,None,18.004027199931443,None,space,0.16344609996303916,18.004027199931443,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
25,0,25,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.003530499991029501, 0.01418639998883009, 0.037342799943871796, 0.05486859998200089, 0.07203389995265752, 0.08838989993091673, 0.10487839998677373, 0.12146019993815571, 0.1381118999561295, 0.15479509998112917, 0.17144289996940643, 0.18853179994039237]",18.2024046999868,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,18.2024046999868,None,18.2024046999868,None,18.2024046999868,None,18.2024046999868,None,space,0.17304110003169626,18.2024046999868,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
26,0,26,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.003361099981702864, 0.013794499915093184, 0.035896899993531406, 0.053157599992118776, 0.06992899999022484, 0.08648930001072586, 0.10322119994089007, 0.11983929993584752, 0.13655699999071658, 0.1531027000164613, 0.17054520000237972]",18.403152499930002,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,18.403152499930002,None,18.403152499930002,None,18.403152499930002,None,18.403152499930002,None,space,0.15660049999132752,18.403152499930002,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
27,0,27,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00299279997125268, 0.013676899950951338, 0.03568009997252375, 0.05302120000123978, 0.06951940001454204, 0.08683319995179772, 0.10291350004263222, 0.11954280000645667, 0.1362476999638602, 0.15276880003511906, 0.16963709995616227, 0.1865700000198558]",18.587193799903616,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,18.587193799903616,None,18.587193799903616,None,18.587193799903616,None,18.587193799903616,None,space,0.17280409997329116,18.587193799903616,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
28,0,28,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.003087199991568923, 0.014234900008887053, 0.03578459995333105, 0.05393950000870973, 0.06970989995170385, 0.08637999999336898, 0.10302479995880276, 0.11970309994649142, 0.1363256999757141, 0.15316330001223832, 0.17013819993007928]",18.786908999900334,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,18.786908999900334,None,18.786908999900334,None,18.786908999900334,None,18.786908999900334,None,space,0.15684289997443557,18.786908999900334,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
29,0,29,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0031796999974176288, 0.015109000029042363, 0.03534529998432845, 0.052562299999408424, 0.06905729998834431, 0.08578540000598878, 0.10256819997448474, 0.11920309998095036, 0.1358839999884367, 0.15243740007281303, 0.16905560006853193, 0.185898800031282, 0.2024480999680236, 0.21910690004006028]",18.97141090000514,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,18.97141090000514,None,18.97141090000514,None,18.97141090000514,None,18.97141090000514,None,space,0.19614810007624328,18.97141090000514,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
30,0,30,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0029626000905409455, 0.014019099995493889, 0.03684030007570982, 0.053500200039707124, 0.07025830005295575, 0.08693150000181049, 0.10358110000379384, 0.12030160007998347, 0.13693600008264184, 0.15401440009009093]",19.20342969999183,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,19.20342969999183,None,19.20342969999183,None,19.20342969999183,None,19.20342969999183,None,space,0.1406205000821501,19.20342969999183,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
31,0,31,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.002881700056605041, 0.012950000003911555, 0.03582109999842942, 0.05314810003619641, 0.07039090001489967, 0.08668329997453839, 0.10307379998266697, 0.11977210000623018, 0.13638030004221946, 0.1530116000212729, 0.17019259999506176]",19.369292599963956,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,19.369292599963956,None,19.369292599963956,None,19.369292599963956,None,19.369292599963956,None,space,0.15850179991684854,19.369292599963956,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
32,0,32,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.003153500030748546, 0.01359069999307394, 0.03656579996459186, 0.053999299998395145, 0.07062849996145815, 0.0873155000153929, 0.10405500000342727, 0.12063070002477616, 0.13723819993901998, 0.1539605000289157, 0.17057560000102967, 0.18764100002590567]",19.552432299940847,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,19.552432299940847,None,19.552432299940847,None,19.552432299940847,None,19.552432299940847,None,space,0.1670199999352917,19.552432299940847,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
33,0,33,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0030335000483319163, 0.013511399971321225, 0.035851199994795024, 0.05332239996641874, 0.06995829998049885, 0.08669240004383028, 0.10324490000493824, 0.11995289998594671, 0.13659560005180538, 0.1531597999855876, 0.170604299986735]",19.75314599997364,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,19.75314599997364,None,19.75314599997364,None,19.75314599997364,None,19.75314599997364,None,space,0.15832430007867515,19.75314599997364,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
34,0,34,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.003111699945293367, 0.013331099995411932, 0.032057999982498586, 0.04932430002372712, 0.0664785000262782, 0.08264839998446405, 0.09933130000717938, 0.11601809994317591, 0.1328314000274986, 0.14934440003708005, 0.16606509999837726, 0.18264889996498823]",19.940236900001764,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,19.940236900001764,None,19.940236900001764,None,19.940236900001764,None,19.940236900001764,None,space,0.17120169999543577,19.940236900001764,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
35,0,35,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0037505999207496643, 0.015302299987524748, 0.036824499955400825, 0.054680799948982894, 0.07064029993489385, 0.08733629994094372, 0.10396259999834001, 0.12071019993163645, 0.1373064999934286, 0.1540838999208063, 0.17069729999639094, 0.1881998999742791]",20.136689799954183,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,20.136689799954183,None,20.136689799954183,None,20.136689799954183,None,20.136689799954183,None,space,0.1747519999044016,20.136689799954183,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
36,0,36,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.002968000015243888, 0.013278199941851199, 0.035559299984015524, 0.05344749998766929, 0.06950240000151098, 0.08622739999555051, 0.10283610003534704, 0.11946489999536425, 0.13624939997680485, 0.15284130000509322, 0.16968539997469634]",20.33612929994706,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,20.33612929994706,None,20.33612929994706,None,20.33612929994706,None,20.33612929994706,None,space,0.15927709999959916,20.33612929994706,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
37,0,37,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0033186000073328614, 0.013887000037357211, 0.035560799995437264, 0.05297400010749698, 0.06957170006353408, 0.08676370000466704, 0.10291250003501773, 0.11950650007929653, 0.13628050009720027, 0.15294110006652772, 0.16946680005639791, 0.18615240009967238, 0.2033540999982506]",20.51963779993821,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,20.51963779993821,None,20.51963779993821,None,20.51963779993821,None,20.51963779993821,None,space,0.18389009998645633,20.51963779993821,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
38,0,38,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.002889600000344217, 0.013745800009928644, 0.03618370008189231, 0.05432260001543909, 0.07015160005539656, 0.0869611999951303, 0.1035633001010865, 0.12028030003421009, 0.1369965000776574, 0.15364190004765987, 0.17021550005301833, 0.1874221001053229]",20.736028999905102,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,20.736028999905102,None,20.736028999905102,None,20.736028999905102,None,20.736028999905102,None,space,0.1674821999622509,20.736028999905102,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
39,0,39,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0029870999278500676, 0.013970899977721274, 0.0364353999029845, 0.05429609993007034, 0.07047729997429997, 0.08722029998898506, 0.10383049992378801, 0.12037959997542202, 0.13699239993002266, 0.1538052000105381, 0.17032149992883205]",20.936275299987756,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,20.936275299987756,None,20.936275299987756,None,20.936275299987756,None,20.936275299987756,None,space,0.15922589995898306,20.936275299987756,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
40,0,40,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00343150005210191, 0.013752599945291877, 0.03674280003178865, 0.054329699953086674, 0.07100420002825558, 0.08804329996928573, 0.10421180003322661, 0.12080729997251183, 0.13750379998236895, 0.15417430002707988, 0.17077960004098713, 0.18765790003817528]",21.118676799931563,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,21.118676799931563,None,21.118676799931563,None,21.118676799931563,None,21.118676799931563,None,space,0.1767755999462679,21.118676799931563,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
41,0,41,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.003347399993799627, 0.014308899990282953, 0.036682500038295984, 0.05383600003551692, 0.07077019999269396, 0.08712470007594675, 0.10374699998646975, 0.12023210001643747, 0.13708650006446987, 0.15367380005773157, 0.1704230000032112, 0.1872884000185877]",21.31946169992443,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,21.31946169992443,None,21.31946169992443,None,21.31946169992443,None,21.31946169992443,None,space,0.17605689994525164,21.31946169992443,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
